Question,Answer
Booking Your Flight,"BOOKING YOUR FLIGHT
Know any details regarding your flight bookings."
Where can I get all the information about Buddha Air?,You can find all the information about Buddha Air on our website at www.buddhaair.com
How can I purchase my ticket online?,You can purchase your flight ticket from our website at www.buddhaair.com or from our official mobile app.
Can I purchase Buddha Air flight ticket from overseas?,"Yes, you can safely and conveniently book tickets from our website at www.buddhaair.com and mobile app. We accept Visa, MasterCard, American Express, UnionPay for payment methods."
Can I purchase child ticket online?,"Yes, you purchase a child ticket online on our website at www.buddhaair.com. Child fare is applicable for the passenger(s) aged between 02 Years to (under) 12 Years of age. 33% of the normal fare is discounted for this type of passenger(s). 
A child over 12 years of age at the time of booking will be considered an adult."
Can I purchase infant ticket online?,"No, infant ticket cannot be purchased online. You will need to purchase infant ticket during check-in at the airport. Please note that infant fare is applicable for passenger(s) aged 7 days from birth to (under) 02 years. 
Only 10 % of the normal fare will be charged for Infant passenger(s)."
Do you have discount for child fare?,"Yes, we have discount for child fare. 33% of normal fare is discounted for child passenger."
Do you have discount for infant fare?,"Yes, we have discount for infant fare. Only 10% of normal fare will be charged for infant passenger."
What is the age category for child passenger?,"Passenger(s) who are above 2 years and under 12 years at the time of travel are considered child passenger(s).  
If the child is above 12 years of age, he/she is considered a young passenger."
What is the age category for infant passenger?,Passenger(s) who are 7 days old to under 2 years old at the time of travel are considered infant passenger(s).
Do you provide unaccompanied minor service?,"Yes, we provide Unaccompanied Minor Service for children aged between 5 to 12 years old. For more information, please link here https://www.buddhaair.com/detail/um-below-12-years"
Can I book a flight even if I'm not one of the passengers?,"Yes, you can purchase tickets even if you're not the passenger. We have different section divided on our website for cardholder name and passenger name."
What is the maximum number of tickets I can purchase online?,You can purchase maximum of eight tickets (adults and children) from websites or mobile apps.
What is the time duration for booking ticket online?,You will need to complete all the required procedures within 15 minutes from the time you have selected your flight.
What should I do if the hunting line/reservation line is busy?,"If our hunting line/reservation number 01-5970900 is busy, please contact our respective sales offices or outstations. https://www.buddhaair.com/detail/contact-us"
Where do I check information about my flight ticket?,You can check information about your flight ticket on our website's Ticket Status or call 01 5970900.
What currency is the fare quoted in?,The fare is quoted in Nepali Rupees (NPR) for Nepali and Indian passengers while USD for foreign nationals.
